[Mon Jun 15 21:35:05 2026] liz_bulb | eat | pellet_3
[Mon Jun 15 21:35:05 2026] liz_char | eat | pellet_2
[Mon Jun 15 21:36:06 2026] liz_bulb | eat | pellet_3
[Mon Jun 15 21:36:06 2026] liz_char | eat | pellet_2
[Mon Jun 15 22:26:05 2026] liz_bulb | eat | pellet_3
[Mon Jun 15 22:26:05 2026] liz_char | eat | pellet_2
[Mon Jun 15 22:34:24 2026] liz_bulb | eat | pellet_3
[Mon Jun 15 22:34:24 2026] liz_char | eat | pellet_2
[Thu Jun 18 02:14:52 2026] liz_char | eat | liz_bulb
[Thu Jun 18 02:14:52 2026] liz_gen_5414 | rest | NONE
[Thu Jun 18 02:14:52 2026] liz_bulb | rest | NONE
[Thu Jun 18 02:18:59 2026] liz_char | eat | liz_bulb
[Thu Jun 18 02:18:59 2026] liz_gen_5414 | rest | NONE
[Thu Jun 18 02:18:59 2026] liz_bulb | rest | NONE
[Thu Jun 18 02:19:35 2026] liz_char | eat | liz_bulb
[Thu Jun 18 02:19:35 2026] liz_gen_5414 | rest | NONE
[Thu Jun 18 02:19:35 2026] liz_bulb | rest | NONE
[Fri Jun 19 01:32:29 2026] liz_bulb | rest | NONE
[Fri Jun 19 01:32:29 2026] liz_char | eat | liz_bulb
[Fri Jun 19 01:32:29 2026] liz_gen_5414 | rest | NONE
[Fri Jun 19 16:42:02 2026] liz_char | rest | NONE
[Fri Jun 19 16:42:02 2026] liz_gen_5414 | rest | NONE
[Fri Jun 19 16:42:36 2026] liz_char | rest | NONE
[Fri Jun 19 16:42:36 2026] liz_gen_5414 | rest | NONE
[Fri Jun 19 16:42:57 2026] liz_char | rest | NONE
[Fri Jun 19 16:42:57 2026] liz_gen_5414 | rest | NONE
[Fri Jun 19 16:43:13 2026] liz_char | rest | NONE
[Fri Jun 19 16:43:13 2026] liz_gen_5414 | rest | NONE
